1;Budapest
2;Fejér
3;Jász-Nagykun-Szolnok
4;Baranya
5;Heves
6;Borsod-Abaúj-Zemplén
7;Győr-Moson-Sopron
8;Pest
9;Vas
10;Veszprém
11;Szabolcs-Szatmár-Bereg
12;Komárom-Esztergom
13;Bács-Kiskun
14;Csongrád
15;Zala
16;Békés
17;Somogy
18;Tolna
19;Nógrád
20;Hajdú-Bihar
