Bodonhely;7
Bodony;5
Bodorfa;10
Bodrog;17
Bodroghalom;6
Bodrogkeresztúr;6
Bodrogkisfalud;6
Bodrogolaszi;6
Bódvalenke;6
Bódvarákó;6
Bódvaszilas;6
Bogács;6
Bogád;4
Bogádmindszent;4
Bogdása;4
Bogyiszló;18
Bogyoszló;7
Bojt;20
Bókaháza;15
Bokod;12
Bokor;19
Boldog;5
Boldogasszonyfa;4
Boldogkőújfalu;6
Boldogkőváralja;6
Boldva;6
Bolhás;17
Bolhó;17
Bóly;4
Boncodfölde;15
Bonyhád;18
Bonyhádvarasd;18
Bonnya;17
Bordány;14
Borgáta;9
Borjád;4
Borota;13
Borsfa;15
Borsodbóta;6
Borsodgeszt;6
Borsodivánka;6
Borsodnádasd;6
Borsodszentgyörgy;6
Borsodszirák;6
Borsosberény;19
Borszörcsök;10
Borzavár;10
Bosta;4
Botpalád;11
Botykapeterd;4
Bozzai;9
Bozsok;9
Bózsva;6
Bő;9
Bőcs;6
Böde;15
Bödeháza;15
Bögöt;9
Bögöte;9
Böhönye;17
Bököny;11
Bölcske;18
Bőny;7
Börcs;7
Börzönce;15
Bősárkány;7
Bőszénfa;17
Bucsa;16
Bucsu;9
Búcsúszentlászló;15
Bucsuta;15
Budajenő;8
Budakalász;8
Budakeszi;8
Budaörs;8
Budapest;1
Bugac;13
Bugacpusztaháza;13
Bugyi;8
Buj;11
Buják;19
Buzsák;17
Bük;9
Bükkábrány;6
Bükkaranyos;6
Bükkmogyorósd;6
Bükkösd;4
Bükkszék;5
Bükkszenterzsébet;5
Bükkszentkereszt;6
Bükkszentmárton;5
Bükkzsérc;6
Bürüs;4
Büssü;17
Büttös;6
Cák;9
Cakóháza;7
Cece;2
Cégénydányád;11
Cegléd;8
Ceglédbercel;8
Celldömölk;9
Cered;19
Chernelházadamonya;9
Cibakháza;3
Cigánd;6
Cikó;18
Cirák;7
Cún;4
Csabacsűd;16
Csabaszabadi;16
Csabdi;2
Csabrendek;10
Csáfordjánosfa;7
Csaholc;11
Csajág;10
Csákány;17
Csákánydoroszló;9
Csákberény;2
Csákvár;2
Csanádalberti;14
Csanádapáca;16
Csanádpalota;14
Csánig;9
Csány;5
Csányoszró;4
Csanytelek;14
Csapi;15
Csapod;7
Csárdaszállás;16
Csarnóta;4
Csaroda;11
Császár;12
Császártöltés;13
Császló;11
Csátalja;13
Csatár;15
Csataszög;3
Csatka;12
Csávoly;13
Csebény;4
Csécse;19
Csegöld;11
Csehbánya;10
Csehi;9
Csehimindszent;9
Csém;12
Csemő;8
Csempeszkopács;9
Csengele;14
Csenger;11
Csengersima;11
Csengerújfalu;11
Csengőd;13
Csénye;9
Csenyéte;6
Csép;12
Csépa;3
Csepreg;9
Csér;7
Cserdi;4
Cserénfa;17
Cserépfalu;6
Cserépváralja;6
Cserháthaláp;19
Cserhátsurány;19
Cserhátszentiván;19
Cserkeszőlő;3
Cserkút;4
Csernely;6
Cserszegtomaj;15
Csertalakos;15
Csertő;4
Csesznek;10
Csesztreg;15
Csesztve;19
Csetény;10
Csévharaszt;8
Csibrák;18
Csikéria;13
Csikóstőttős;18
Csikvánd;7
Csincse;6
Csipkerek;9
Csitár;19
Csobád;6
Csobaj;6
Csobánka;8
Csókakő;2
Csokonyavisonta;17
Csokvaomány;6
Csolnok;12
Csólyospálos;13
Csoma;17
Csomád;8
Csombárd;17
Csongrád;14
Csonkahegyhát;15
Csonkamindszent;4
Csopak;10
Csór;2
Csorna;7
Csorvás;16
Csót;10
Csöde;15
Csögle;10
Csökmő;20
Csököly;17
Csömend;17
Csömödér;15
Csömör;8
Csönge;9
Csörnyeföld;15
Csörög;8
Csörötnek;9
Csősz;2
Csővár;8
Csurgó;17
Csurgónagymarton;17
Dabas;8
Dabronc;10
Dabrony;10
Dad;12
Dág;12
Dáka;10
Dalmand;18
Damak;6
Dámóc;6
Dánszentmiklós;8
Dány;8
Daraboshegy;9
Darány;17
Darnó;11
Darnózseli;7
Daruszentmiklós;2
Darvas;20
Dávod;13
Debercsény;19
Debrecen;20
Debréte;6
Decs;18
Dédestapolcsány;6
Dég;2
Dejtár;19
Délegyháza;8
Demecser;11
Demjén;5
Dencsháza;4
Dénesfa;7
Derecske;20
Derekegyház;14
Deszk;14
Detek;6
Detk;5
Dévaványa;16
Devecser;10
Dinnyeberki;4
Diósberény;18
Diósd;8
Diósjenő;19
Dióskál;15
Diósviszló;4
Doba;10
Doboz;16
Dobri;15
Dobronhegy;15
Dóc;14
Domaháza;6
Domaszék;14
Dombegyház;16
Dombiratos;16
Dombóvár;18
Dombrád;11
Domony;8
Domoszló;5
Dormánd;5
Dorog;12
Dorogháza;19
Dozmat;9
Döbörhegy;9
Döbröce;15
Döbrököz;18
Döbrönte;10
Döge;11
Dömös;12
Dömsöd;8
Dör;7
Dörgicse;10
Döröske;9
Dötk;15
Dövény;6
Drágszél;13
Drávacsehi;4
Drávacsepely;4
Drávafok;4
Drávagárdony;17
Drávaiványi;4
Drávakeresztúr;4
Drávapalkonya;4
Drávapiski;4
Drávaszabolcs;4
Drávaszerdahely;4
Drávasztára;4
Drávatamási;17
Drégelypalánk;19
Dubicsány;6
Dudar;10
Duka;9
Dunaalmás;12
Dunabogdány;8
Dunaegyháza;13
Dunafalva;13
Dunaföldvár;18
Dunaharaszti;8
Dunakeszi;8
Dunakiliti;7
Dunapataj;13
Dunaremete;7
Dunaszeg;7
Dunaszekcső;4
Dunaszentbenedek;13
Dunaszentgyörgy;18
Dunaszentmiklós;12
Dunaszentpál;7
Dunasziget;7
Dunatetétlen;13
Dunaújváros;2
Dunavarsány;8
Dunavecse;13
Dusnok;13
Dúzs;18
